"start";"end";"today";"username";"deviceid";"intervencion_id";"Tipo_carta";"id_operador";"ID_Carta";"Agencias_rda";"geo_ref_RDA";"_geo_ref_RDA_latitude";"_geo_ref_RDA_longitude";"_geo_ref_RDA_altitude";"_geo_ref_RDA_precision";"Punto_1";"Punto_4";"Punto_7";"__version__";"cartas_asociadas";"seguimiento_rda";"Enc_reactiva_1";"Enc_reactiva_1a";"Enc_reactiva_2";"Enc_reactiva_3";"Enc_reactiva_4";"Enc_reactiva_5";"Enc_reactiva_6";"op_frio_1";"Punto_2";"Punto_3";"Punto_5";"Punto_6";"_index"
"2024-08-08T16:35:52.675-03:00";"2024-08-08T16:43:13.948-03:00";"2024-08-08";"laparicio";"collect:LIrbEA8kk24qA8f2";"ab6823be";"1";"113";"1105873";"1";"";"";"";"";"";"";"";"";"";"";"";"brasil";"1160";"constitucion";"1";"3";"2";"2";"";"";"";"";"";"42"
"2024-08-08T16:45:59.058-03:00";"2024-08-08T16:47:31.546-03:00";"2024-08-08";"labalo";"collect:iUpiKxTXmsRWkN3u";"9e7a27dc";"1";"101";"1105913";"1";"-34.5927069 -58.3927945 41.19999694824219 4.88";"-34.5927069";"-58.3927945";"41.19999694824219";"4.88";"";"";"";"";"";"";"pacheco_de_melo_jose_andres";"0";"san_nicolas";"1";"3";"2";"2";"";"";"";"";"";"43"
"2024-08-08T16:53:18.486-03:00";"2024-08-08T16:54:23.045-03:00";"2024-08-08";"mbenitez";"collect:WXGrpocOojXhiCAS";"e4275a47";"1";"133";"1105791";"1";"";"";"";"";"";"";"";"";"";"";"";"scalabrini_ortiz_raul";"2794";"";"14";"3";"2";"2";"";"";"";"";"";"44"
"2024-08-08T17:01:46.894-03:00";"2024-08-08T17:03:59.766-03:00";"2024-08-08";"laparicio";"collect:LIrbEA8kk24qA8f2";"10db7633";"1";"113";"1106019";"1";"";"";"";"";"";"";"";"";"";"";"";"belgrano_av";"599";"san_telmo";"1";"3";"2";"1";"";"";"";"";"";"45"
"2024-08-08T17:05:44.073-03:00";"2024-08-08T17:07:40.159-03:00";"2024-08-08";"labalo";"collect:iUpiKxTXmsRWkN3u";"5ded1155";"1";"101";"1105984";"1";"";"";"";"";"";"1";"2";"1";"";"";"";"figueroa_alcorta_pres_av";"0";"recoleta";"2";"1";"";"";"2";"2";"2";"2";"2";"46"
"2024-08-08T17:07:24.731-03:00";"2024-08-08T17:14:18.578-03:00";"2024-08-08";"getchebehere";"collect:j12UvRTHA7s2D74i";"734c843b";"1";"173";"1105903";"1";"";"";"";"";"";"1";"2";"1";"";"";"";"finochietto_enrique_dr";"0";"barracas";"4";"1";"";"";"2";"1";"2";"2";"2";"47"
"2024-08-08T14:47:05.110-03:00";"2024-08-08T14:48:14.953-03:00";"2024-08-08";"aanquieri";"collect:LzalQ0ls7cdzAe8E";"8a8b5148";"1";"109";"1105803";"3";"";"";"";"";"";"";"";"";"";"";"";"rivadavia_av";"8400";"";"10";"3";"2";"2";"";"";"";"";"";"48"
"2024-08-08T17:14:46.629-03:00";"2024-08-08T17:15:58.709-03:00";"2024-08-08";"dsalazar";"collect:zlst1IxMGpUv8iis";"90388ba8";"1";"256";"1105904";"1";"";"";"";"";"";"";"";"";"";"";"";"humberto_1°";"0";"constitucion";"1";"3";"1";"1";"";"";"";"";"";"49"
"2024-08-08T17:17:39.159-03:00";"2024-08-08T17:21:51.013-03:00";"2024-08-08";"getchebehere";"collect:j12UvRTHA7s2D74i";"82d54c31";"1";"173";"1105886";"1";"";"";"";"";"";"1";"2";"2";"";"";"";"luzuriaga";"254";"san_cristobal";"3";"1";"";"";"2";"1";"1";"2";"2";"50"
"2024-08-08T17:14:54.584-03:00";"2024-08-08T17:22:35.969-03:00";"2024-08-08";"bjordan";"collect:Kq8RDKFnBtyQG7Nd";"7e2d30ca";"1";"194";"1105987";"1";"";"";"";"";"";"12";"2";"1";"";"";"";"cabildo_av";"3067";"belgrano";"13";"1";"";"";"2";"1";"2";"1";"2";"51"
